treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
object category "I_ARP_ARM_UNIQUE_Pilgrim_Talisman_A",1,0,0,0,0,0,0,0
new treasuretable "ARP_TheExecutioner"
new subtable "-1"
object category "I_ARP_UNI_Dallis_Stage3_HammerB",1,0,0,0,0,0,0,0
new treasuretable "ARP_TheGroomsGift"
new subtable "-1"
object category "I_ARP_WPN_ARX_UNIQUE_GroomsWand",1,0,0,0,0,0,0,0
new treasuretable "ARP_TheJudge"
new subtable "-1"
object category "I_ARP_UNI_Dallis_Stage3_HammerA",1,0,0,0,0,0,0,0
new treasuretable "ARP_TheSilentPath"
new subtable "-1"
object category "I_ARP_UNI_ARX_LizardRelic_Helmet",1,0,0,0,0,0,0,0
new treasuretable "ARP_ThreeSisters"
new subtable "-1"
object category "I_ARP_ARX_UNIQUE_Staff_ElvenRelic",1,0,0,0,0,0,0,0
new treasuretable "ARP_Truthseeker"
new subtable "-1"
object category "I_ARP_ARX_UNIQUE_Sword_1H_ElvenRelic",1,0,0,0,0,0,0,0
new treasuretable "ARP_VoCharlen"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_ArxHelmetOfTheRanger",1,0,0,0,0,0,0,0
new treasuretable "ARP_VoordAravel"
new subtable "-1"
object category "I_ARP_ARX_UNIQUE_Sword_1H_Guardian",1,0,0,0,0,0,0,0
new treasuretable "ARP_VoordLamas"
new subtable "-1"
object category "I_ARP_ARX_UNIQUE_Mace_2H_Challenger",1,0,0,0,0,0,0,0
new treasuretable "ARP_VordEmver"
new subtable "-1"
object category "I_ARP_ARX_UNIQUE_Crossbow_Cryotherapy",1,0,0,0,0,0,0,0
